GID_0,Max,Mean,Min
USA,277.8518981933594,277.5337219238281,277.19342041015625
USA,284.6496276855469,282.0463073730469,278.8169860839844
USA,278.0730285644531,277.8281555175781,277.4711608886719
USA,277.348388671875,277.0881042480469,276.82781982421875
USA,276.2041931152344,275.97222900390625,275.5700988769531
USA,278.0730285644531,277.74700927734375,277.4711608886719
USA,278.1772155761719,278.1348419189453,278.09246826171875
USA,275.8850402832031,275.8289031982422,275.77276611328125
USA,277.00567626953125,276.67262268066406,276.3395690917969
USA,275.8850402832031,275.5894409179688,275.1329040527344
USA,277.348388671875,276.9801559448242,276.5509948730469
USA,278.06524658203125,277.7201461791992,277.2693786621094
USA,278.8169860839844,278.2740071614583,277.9397888183594
USA,276.4383239746094,276.4383239746094,276.4383239746094
USA,276.4383239746094,276.10892486572266,275.77276611328125
USA,278.53009033203125,278.3015594482422,278.0730285644531
USA,274.9662170410156,274.8614501953125,274.7150573730469
USA,278.7543640136719,278.4109878540039,278.09246826171875
USA,277.19342041015625,276.7651138305664,276.4383239746094
USA,281.1208190917969,279.36223754882815,278.09246826171875
USA,278.6199035644531,278.2113342285156,277.7411804199219
USA,276.2041931152344,275.8361053466797,275.427734375
USA,278.53009033203125,278.18135833740234,277.9402770996094
USA,277.8518981933594,277.64715576171875,277.348388671875
USA,275.6207580566406,275.34881591796875,275.1058654785156
USA,277.7411804199219,277.32897186279297,276.8777160644531
USA,281.31011962890625,279.7244384765625,278.6199035644531
USA,276.2041931152344,275.8200225830078,275.5700988769531
USA,276.14239501953125,276.0655975341797,275.9888000488281
USA,275.4378967285156,275.1831741333008,274.903076171875
USA,280.4479064941406,279.07554626464844,278.1820373535156
USA,277.0508117675781,276.56768798828125,276.18096923828125
USA,277.6061706542969,277.0631958007813,276.4827880859375
USA,278.1820373535156,278.0611572265625,277.9402770996094
USA,279.14215087890625,278.6180928548177,278.1820373535156
USA,275.6207580566406,275.20350646972656,274.9544982910156
USA,276.82781982421875,276.4313507080078,276.14239501953125
USA,275.9888000488281,275.67554473876953,275.4255065917969
USA,274.9662170410156,274.6819152832031,274.2857971191406
USA,275.427734375,275.1178436279297,274.7150573730469
USA,277.4711608886719,277.11818440755206,276.8777160644531
USA,274.9544982910156,274.83477783203125,274.7150573730469
USA,278.09246826171875,277.8951822916667,277.7411804199219
USA,277.5035705566406,277.2145309448242,276.8777160644531
USA,275.5700988769531,275.2622985839844,274.9544982910156
USA,278.06524658203125,277.6435317993164,277.0508117675781
USA,275.9888000488281,275.6174011230469,275.4255065917969
USA,275.6207580566406,275.31280517578125,274.9544982910156
USA,284.5389709472656,281.3631947835286,278.5044250488281
USA,278.8169860839844,278.45345306396484,278.06524658203125
USA,278.09246826171875,277.5802307128906,276.8777160644531
USA,275.5700988769531,275.1668472290039,274.7150573730469
USA,277.8518981933594,277.46431732177734,277.0508117675781
USA,276.5561828613281,276.2117431640625,275.8499755859375
USA,278.0730285644531,277.7882995605469,277.5035705566406
USA,276.4383239746094,276.1835530598958,275.77276611328125
USA,277.4711608886719,277.2528533935547,277.00567626953125
USA,276.5509948730469,276.26963806152344,275.8850402832031
USA,276.82781982421875,276.5276692708333,276.2041931152344
USA,277.6061706542969,277.1206359863281,276.5561828613281
USA,276.5509948730469,276.26963806152344,275.8850402832031
USA,277.5035705566406,276.8329711914063,276.3395690917969
USA,276.82781982421875,276.3604507446289,275.9888000488281
USA,276.14239501953125,275.74610900878906,275.4255065917969
USA,278.8169860839844,278.3316116333008,277.9397888183594
USA,278.1772155761719,277.92236328125,277.6061706542969
USA,276.14239501953125,275.6652119954427,275.4255065917969
USA,273.142578125,268.67975463867185,262.4506530761719
USA,275.3105163574219,273.87072443558,269.01092529296875
USA,265.7868957519531,262.700692313058,260.478759765625
USA,264.4397888183594,254.12412952926923,249.208740234375
USA,256.537109375,256.18587493896484,255.8346405029297
USA,260.9418029785156,257.83513370636973,253.62353515625
USA,261.5062255859375,254.2839580335115,249.208740234375
USA,262.27215576171875,260.2935513583097,259.0106201171875
USA,273.2977600097656,268.27640533447266,263.7996520996094
USA,273.2977600097656,271.0403594970703,267.13934326171875
USA,271.1866149902344,261.86237175520074,252.8368377685547
USA,275.4948425292969,274.3944580078125,272.48223876953125
USA,269.6204528808594,264.4932939801897,256.444580078125
USA,268.42205810546875,258.7584640770628,252.8368377685547
USA,265.8331604003906,260.47737365722656,253.2040252685547
USA,254.3726348876953,250.5619304818167,243.8964080810547
USA,257.1234436035156,249.9417768017999,244.0513458251953
USA,256.7300720214844,249.24973423041186,244.0878143310547
