GID_0,Max,Mean,Min
USA,289.4548645019531,289.05228424072266,288.7852783203125
USA,292.1482238769531,291.00786743164065,289.6602783203125
USA,288.5222473144531,288.4417419433594,288.2895202636719
USA,289.5997314453125,289.5272979736328,289.4548645019531
USA,289.5447082519531,289.0367940266927,288.7481689453125
USA,288.5222473144531,288.42191314697266,288.2895202636719
USA,289.1016845703125,288.9626922607422,288.8236999511719
USA,287.8933410644531,287.4849853515625,287.0766296386719
USA,287.8839111328125,287.5857391357422,287.2875671386719
USA,287.9265441894531,287.3730407714844,286.7690124511719
USA,289.5997314453125,289.1622314453125,288.7817077636719
USA,290.4565124511719,289.9410400390625,289.4890441894531
USA,290.0020751953125,289.7171325683594,289.4890441894531
USA,287.9008483886719,287.9008483886719,287.9008483886719
USA,287.9008483886719,287.5395965576172,287.0766296386719
USA,289.0860595703125,288.8041534423828,288.5222473144531
USA,290.5476379394531,290.0494893391927,289.4132080078125
USA,289.7149658203125,289.2881317138672,288.8236999511719
USA,288.8126220703125,288.38147735595703,287.9008483886719
USA,290.9109191894531,289.71307983398435,288.8236999511719
USA,289.5121765136719,288.9458923339844,288.5222473144531
USA,289.5447082519531,289.0902099609375,288.7481689453125
USA,289.2575988769531,288.84484100341797,288.5134582519531
USA,289.4548645019531,289.1321716308594,288.7852783203125
USA,287.9265441894531,287.3897705078125,286.7690124511719
USA,288.8126220703125,288.49776458740234,288.0307312011719
USA,290.9109191894531,290.0843017578125,289.5121765136719
USA,288.8175048828125,288.3463897705078,287.8933410644531
USA,290.5746765136719,290.0596923828125,289.5447082519531
USA,290.9942626953125,290.5478057861328,290.1876220703125
USA,290.2325439453125,289.62284088134766,289.0860595703125
USA,291.0092468261719,290.6239013671875,290.2579345703125
USA,290.5040283203125,289.92661743164064,289.4548645019531
USA,289.2575988769531,288.8855285644531,288.5134582519531
USA,289.9151611328125,289.4196065266927,289.0860595703125
USA,288.6885986328125,287.76200103759766,286.7690124511719
USA,289.5997314453125,289.1859130859375,288.7817077636719
USA,291.2185363769531,290.81229400634766,290.4617004394531
USA,290.5476379394531,289.8314463297526,289.4067077636719
USA,290.4617004394531,289.8282470703125,289.2504577636719
USA,288.2895202636719,288.06805419921875,287.8839111328125
USA,289.4132080078125,289.0509033203125,288.6885986328125
USA,289.1563720703125,288.9217834472656,288.7852783203125
USA,288.3624267578125,288.1416473388672,287.8839111328125
USA,288.7481689453125,288.7183837890625,288.6885986328125
USA,290.2579345703125,289.67996978759766,289.1563720703125
USA,290.9942626953125,290.6768798828125,290.4617004394531
USA,288.7481689453125,288.2567901611328,287.6638488769531
USA,291.6840515136719,290.7664540608724,289.6602783203125
USA,289.7149658203125,289.49149322509766,289.1016845703125
USA,288.8236999511719,288.55616760253906,288.0307312011719
USA,289.4132080078125,289.02510833740234,288.6885986328125
USA,290.2579345703125,289.67142486572266,289.1563720703125
USA,291.2185363769531,290.8061767578125,290.5040283203125
USA,288.5222473144531,288.4423370361328,288.3624267578125
USA,287.9008483886719,287.4216817220052,287.0766296386719
USA,288.6300048828125,288.2361297607422,287.8839111328125
USA,288.8175048828125,288.34835052490234,287.8933410644531
USA,289.5997314453125,289.0663146972656,288.7817077636719
USA,290.7243957519531,290.3138427734375,289.8165283203125
USA,288.8175048828125,288.34835052490234,287.8933410644531
USA,288.3624267578125,287.8930969238281,287.2875671386719
USA,290.5746765136719,290.0557861328125,289.5447082519531
USA,290.5746765136719,289.9578857421875,289.2504577636719
USA,290.2344970703125,289.84647369384766,289.4890441894531
USA,289.8165283203125,289.1954345703125,288.7852783203125
USA,290.4617004394531,289.7522888183594,289.2504577636719
USA,272.3814697265625,269.50331333705356,264.3731994628906
USA,275.9944152832031,274.18487393654,267.8814392089844
USA,262.65008544921875,260.0311497279576,257.19647216796875
USA,261.0743713378906,251.21731049159789,245.12416076660156
USA,255.60260009765625,254.7241439819336,253.84568786621094
