iso3,Max,Mean,Min
ABW,2395743763562496.0,2151072227393536.0,2041041205067776.0
AFG,4146201171591168.0,683154530332529.8,0.0
AGO,5450288265691136.0,922806013323478.1,0.0
AIA,2302399628705792.0,1352797108597191.0,0.0
ALA,3834966903357440.0,1456235171201388.0,0.0
ALB,0.0,0.0,0.0
AND,2823998442307584.0,1495610087702528.0,0.0
ARE,1.987823822228685e+16,2725748443265875.5,0.0
ARG,8226292059078656.0,972485984693746.5,0.0
ARM,4312896636977152.0,1477648575433209.2,0.0
ASM,1997790615961600.0,10683372277869.52,0.0
ATA,4821415932985344.0,2282017479160886.0,0.0
ATF,3580921466847232.0,4022778829372.142,0.0
ATG,2063637833318400.0,596518487230600.5,0.0
AUS,1.02070434660352e+16,860258031327052.4,0.0
AUT,8031359599640576.0,1447977699649217.8,0.0
AZE,7196831347900416.0,2094281839298001.5,0.0
BDI,2477835620974592.0,638630790179973.6,0.0
BEL,0.0,0.0,0.0
BEN,3568776641511424.0,1523315531847852.8,0.0
BES,3919071758254080.0,40746857102183.08,0.0
BFA,6442812794994688.0,987742678244012.9,0.0
BGD,0.0,0.0,0.0
BGR,9411508148633600.0,1902762242109023.0,0.0
BHR,8894199202054144.0,5259466045216085.0,0.0
BHS,3602412677890048.0,376718802273852.4,0.0
BIH,6630172153348096.0,344700107276852.94,0.0
BLM,1676809187885056.0,1676809187885056.0,1676809187885056.0
BLR,5999266690498560.0,223458700150556.44,0.0
BLZ,4384301005144064.0,1612817669411188.2,0.0
BMU,0.0,0.0,0.0
BOL,3922879783632896.0,1238694130053854.0,0.0
BRA,8066003879591936.0,640630498098950.9,0.0
BRB,0.0,0.0,0.0
BRN,4927662686470144.0,1382595081940619.8,0.0
BTN,0.0,0.0,0.0
BVT,0,0,0
BWA,7733082173997056.0,1108125495322114.6,0.0
CAF,6914325042167808.0,961506245071060.2,0.0
CAN,1.009761306804224e+16,585213172261479.2,0.0
CCK,0,0,0
CHE,0.0,0.0,0.0
CHL,5723783730036736.0,88379300145799.66,0.0
CHN,9784402577981440.0,655194799395110.6,0.0
CIV,4002977434042368.0,919677470334457.5,0.0
CMR,6914325042167808.0,1305496115052725.0,0.0
COD,8652857473499136.0,861217496102659.4,0.0
COG,3890505662332928.0,1082866133000892.2,0.0
COK,2135539209732096.0,13415690521819.031,0.0
COL,7776757159559168.0,317204693274943.56,0.0
COM,2932654940880896.0,566152292541586.2,0.0
CPV,2697742778368000.0,430123455123709.75,0.0
CRI,6890914249179136.0,371607916773376.0,0.0
CUB,3759923892584448.0,282235840741872.5,0.0
CUW,3200371526729728.0,1875825445393749.2,0.0
CXR,2263643454439424.0,2188567828758528.0,2113492203077632.0
CYM,0.0,0.0,0.0
CYP,0.0,0.0,0.0
CZE,0.0,0.0,0.0
DEU,6509244127903744.0,353504806622391.06,0.0
DJI,0.0,0.0,0.0
DMA,2344435815809024.0,781478605269674.6,0.0
DNK,6782493168500736.0,1074077700627558.1,0.0
DOM,4825640570191872.0,1820213982861125.8,0.0
DZA,8462385874468864.0,1453116078291550.8,0.0
ECU,3077418692640768.0,69652472664342.67,0.0
EGY,1.2297282716172288e+16,2246146947073875.5,0.0
ERI,3295526527172608.0,262141392422530.16,0.0
ESH,3811945341779968.0,445430343197403.0,0.0
ESP,7861784090247168.0,492039292328531.8,0.0
EST,4524212249165824.0,1496632893898752.0,0.0
ETH,1.1220759900848128e+16,1050119856372362.9,0.0
FIN,4133448339947520.0,707286881542104.4,0.0
FJI,3540629304901632.0,2995805603596.1235,0.0
FLK,3785946294124544.0,364411929336217.6,0.0
FRA,5867035384872960.0,776289485215653.1,0.0
FRO,1933800166653952.0,572266934708469.8,0.0
FSM,2580050205474816.0,22555973138644.305,0.0
GAB,3714396702375936.0,1507272538263716.8,0.0
GBR,1.5485764431249408e+16,270910855972518.22,0.0
GEO,6669256355741696.0,1360970534712597.8,0.0
GGY,4254917262835712.0,2457202410179789.0,0.0
GHA,4407822125105152.0,2133721939374953.0,0.0
GIB,5686305308540928.0,5686305308540928.0,5686305308540928.0
GIN,7926610179129344.0,1355457367807694.8,0.0
GLP,2335665761026048.0,1156738577334272.0,0.0
GMB,5700103427850240.0,2109481813500534.2,0.0
GNB,6146432134283264.0,2452574370751094.0,0.0
GNQ,3266784337592320.0,295661431883713.94,0.0
GRC,5049928057356288.0,28212180121884.285,0.0
GRD,0.0,0.0,0.0
GRL,1469443603431424.0,3471776894261.989,0.0
GTM,6718701629865984.0,1746777108478275.2,0.0
GUF,3740041952100352.0,997871653921367.4,0.0
GUM,0.0,0.0,0.0
GUY,6305840919216128.0,887436085433837.9,0.0
HKG,0.0,0.0,0.0
HMD,3615519307464704.0,1746295271544149.2,0.0
HND,6929391787442176.0,826431364952961.4,0.0
HRV,7327338224156672.0,1187195773810361.5,0.0
HTI,4189937897308160.0,2288677968762197.5,0.0
HUN,7327338224156672.0,367422504981254.94,0.0
IDN,7405554410455040.0,403042803012384.06,0.0
IMN,3099433352822784.0,2358352180936704.0,0.0
IND,1.2546473497460736e+16,1242116455185612.0,0.0
IOT,0.0,0.0,0.0
IRL,4597483854364672.0,1295947215228434.2,0.0
IRN,1.6169759447973888e+16,2033309313998921.8,0.0
IRQ,1.3218839890231296e+16,2043389978968193.5,0.0
ISL,1555209671147520.0,105189169040368.55,0.0
ISR,0.0,0.0,0.0
ITA,6787503784722432.0,196124696341942.84,0.0
JAM,2069796413767680.0,45995475861504.0,0.0
JEY,5880693917745152.0,3785261944773017.5,0.0
JOR,0.0,0.0,0.0
JPN,1.32148895940608e+16,106715597931949.4,0.0
KAZ,6521074615320576.0,1020043453672449.2,0.0
KEN,3400296348778496.0,1276168395566213.5,0.0
KGZ,8274275970580480.0,1473649849596557.5,0.0
KHM,4990717101342720.0,2049628662122533.2,0.0
KIR,2462045979017216.0,605346590687.748,0.0
KNA,2166223664054272.0,1496310972678144.0,0.0
KOR,3.3015815183794176e+16,3878582130306401.5,0.0
KWT,1.1248817848451072e+16,5066652285049450.0,0.0
LAO,6618840419008512.0,1345617307091811.0,0.0
LBN,0.0,0.0,0.0
LBR,4976503443947520.0,995358363663492.9,0.0
LBY,4196397796556800.0,1150850060379786.5,0.0
LCA,2130989631406080.0,1065494815703040.0,0.0
LIE,0.0,0.0,0.0
LKA,3026898066079744.0,1208558683160576.0,0.0
LSO,0.0,0.0,0.0
LTU,7349583470395392.0,2048683644825504.8,0.0
LUX,0.0,0.0,0.0
LVA,7001438253219840.0,1005571788994778.4,0.0
MAC,0,0,0
MAF,2281880690884608.0,2024758581395456.0,1767636471906304.0
MAR,5280331577950208.0,659288485142863.6,0.0
MCO,0,0,0
MDA,5328095909249024.0,185816017392879.25,0.0
MDG,5574227063209984.0,932004419771015.9,0.0
MDV,3608256249331712.0,839741531994039.8,0.0
MEX,9668189352886272.0,472114979053789.56,0.0
MHL,2705067308220416.0,14008697078455.846,0.0
MKD,0.0,0.0,0.0
MLI,3524438620372992.0,545358348199730.9,0.0
MLT,0.0,0.0,0.0
MMR,9747190981328896.0,770896997298685.8,0.0
MNE,0.0,0.0,0.0
MNG,3263047716044800.0,957997132779766.8,0.0
MNP,0.0,0.0,0.0
MOZ,4827806307450880.0,904823991037351.6,0.0
MRT,4219024489578496.0,584199828652289.9,0.0
MSR,2215974820380672.0,1992269301284864.0,1768563782189056.0
MTQ,0,0,0
MUS,3177400967888896.0,37986689045199.66,0.0
MWI,2707369410691072.0,23645147691625.082,0.0
MYS,7594263999152128.0,412124532400002.6,0.0
MYT,0.0,0.0,0.0
NAM,7618948249944064.0,1319677414082389.0,0.0
NCL,4023869228711936.0,154579109476666.25,0.0
NER,5335675452784640.0,1015222112859203.2,0.0
NFK,3123524898127872.0,2851406373453824.0,2579287848779776.0
NGA,6085440914325504.0,1907321054828196.0,0.0
NIC,4197428051836928.0,705750935048061.5,0.0
NIU,2904452575002624.0,2699318628712448.0,2494184682422272.0
NLD,0.0,0.0,0.0
NOR,7391378334023680.0,211179158842975.0,0.0
NPL,1.2298546510299136e+16,1193819290413944.8,0.0
NRU,0,0,0
NZL,6398370084028416.0,8039751400297.473,0.0
OMN,1.0641666239102976e+16,1192306977237541.5,0.0
PAK,7288859612151808.0,853783839232744.9,0.0
PAN,3265446186844160.0,636253328461992.4,0.0
PCN,2888084723073024.0,84269659950066.34,0.0
PER,3965544109703168.0,461233639671912.5,0.0
PHL,8762403298738176.0,372622302321357.2,0.0
PLW,2626662143361024.0,35975744637088.5,0.0
PNG,3727791094759424.0,206758924582256.03,0.0
POL,7762847907971072.0,1762276414481752.8,0.0
PRI,4390671515385856.0,1470546333600317.5,0.0
PRK,1.1918607260844032e+16,1781822836304680.2,0.0
PRT,5001895290601472.0,89915993409924.5,0.0
PRY,7064018611077120.0,1074729653482917.9,0.0
PSE,0.0,0.0,0.0
PYF,3787312362160128.0,67430901245930.055,0.0
QAT,1.0908764886532096e+16,5730005285443994.0,0.0
REU,2950766549532672.0,1998595141426455.2,0.0
ROU,1.2905289024012288e+16,942776487467573.6,0.0
RUS,6.349021661416653e+16,187161520247069.47,0.0
RWA,2486608091676672.0,200456368990890.66,0.0
SAU,1.2871081756983296e+16,919862567431159.1,0.0
SDN,5796065882144768.0,1509524190076191.8,0.0
SEN,5700103427850240.0,1949301601134574.5,0.0
SGP,3718290358665216.0,2392751043772416.0,0.0
SGS,4112594126241792.0,72756323839334.84,0.0
SHN,3970550162522112.0,7216655626444.974,0.0
SJM,0.0,0.0,0.0
SLB,3601985328644096.0,66993607203964.5,0.0
SLE,7926610179129344.0,2349694150021705.0,0.0
SLV,5681506756329472.0,2121880406390846.0,0.0
SMR,0,0,0
SOM,4236255361499136.0,484544957400467.44,0.0
SPM,0.0,0.0,0.0
SRB,0.0,0.0,0.0
SSD,8876428774866944.0,1354306557695344.8,0.0
STP,2341955740631040.0,495034323435520.0,0.0
SUR,1894457460916224.0,51409691781802.664,0.0
SVK,0.0,0.0,0.0
SVN,7134378765320192.0,3409178198711484.0,0.0
SWE,7800985606946816.0,811156055294728.1,0.0
SWZ,4796213064892416.0,2726561954597937.0,0.0
SXM,2281880690884608.0,1431581587668992.0,0.0
SYC,2611940337647616.0,49240376002131.44,0.0
SYR,2610524609052672.0,60919684647873.305,0.0
TCA,2935472976297984.0,1645722969571328.0,0.0
