HASC_1,Max,Mean,Min
AL.BE,1.3411531448364258,0.05188351863762364,0.0
AL.DB,0.08023808896541595,0.006719165859514818,0.0
AL.DU,0.03619047626852989,0.009408896967458228,0.0
AL.EB,1.0009523630142212,0.03403744593379088,0.0
AL.FI,1.3568894863128662,0.23532284896438277,0.0
AL.GK,0.13767684996128082,0.012841644308031796,0.0
AL.KE,0.04742756485939026,0.006238579954449299,0.0
AL.KK,0.08023808896541595,0.002489194664615943,0.0
AL.LZ,0.06952380388975143,0.007890475840540603,0.0
AL.SD,0.06952380388975143,0.003507428349694237,0.0
AL.TI,1.0009523630142212,0.040091724369429156,0.0
AL.VR,1.0233333110809326,0.03631065853617408,0.0
