iso3,Max,Mean,Min
ABW,2458678993092608.0,2328882766151680.0,2138855461355520.0
AFG,5389801167519744.0,502439380580038.8,0.0
AGO,4020780878790656.0,1348219977740049.5,0.0
AIA,2585466964541440.0,1631708556529209.0,0.0
ALA,3890213067685888.0,1671464035467628.0,0.0
ALB,3507744619364352.0,1833168244793526.0,0.0
AND,4698939571830784.0,2620398839529472.0,0.0
ARE,1.0584513109295104e+16,1777696745517199.0,0.0
ARG,8314295402102784.0,1117524538168695.9,0.0
ARM,2762007837147136.0,828147847266304.0,0.0
ASM,2344342131834880.0,85858138324319.83,0.0
ATA,5020880656662528.0,2333932060289814.0,0.0
ATF,4055720169308160.0,8023508126912.256,0.0
ATG,2871222681468928.0,991007885754368.0,0.0
AUS,7823345206689792.0,998797001594337.4,0.0
AUT,1.831653442637005e+16,4251859129409892.0,0.0
AZE,6714958565867520.0,2099107094857161.0,0.0
BDI,2480243487014912.0,1479243848419266.0,0.0
BEL,1.804250048049971e+16,4689937531749917.0,0.0
BEN,5309161545924608.0,1245751099334512.2,0.0
BES,2784657615618048.0,33405732204520.77,0.0
BFA,0.0,0.0,0.0
BGD,1.2235241913581568e+16,1394328731175793.5,0.0
BGR,5683622027722752.0,2268247016882854.5,0.0
BHR,0.0,0.0,0.0
BHS,0.0,0.0,0.0
BIH,6168302644625408.0,2160993109715626.8,0.0
BLM,2480318112071680.0,2480318112071680.0,2480318112071680.0
BLR,1.675865100386304e+16,4243472134514615.5,0.0
BLZ,2935508141342720.0,1531704707645440.0,0.0
BMU,2771356370337792.0,1787687124074496.0,0.0
BOL,4215625022963712.0,1278811269623221.0,0.0
BRA,6777181904568320.0,808016417934988.0,0.0
BRB,2820266384162816.0,2038941234495488.0,0.0
BRN,4628491907629056.0,1682234402090019.2,0.0
BTN,5064780591136768.0,307715671814850.2,0.0
BVT,4089029788172288.0,4089029788172288.0,4089029788172288.0
BWA,4534866989285376.0,1726496657635934.5,0.0
CAF,8088296370470912.0,956332571811612.1,0.0
CAN,1.5761303763156992e+16,860802607030331.0,0.0
CCK,1729562257915904.0,1584590267351040.0,1439618276786176.0
CHE,1.2607545784926208e+16,2070677749196875.8,0.0
CHL,6553140841152512.0,173526089129414.34,0.0
CHN,4.369974604857344e+16,1251789429403756.2,0.0
CIV,5730268056911872.0,1584165463803858.8,0.0
CMR,4583505346428928.0,1205067745691691.5,0.0
COD,9760254124359680.0,842632867474013.8,0.0
COG,3081832576843776.0,1098380488029261.1,0.0
COK,2724969649799168.0,24490692078135.598,0.0
COL,5382910429364224.0,436133163265606.6,0.0
COM,3321115405451264.0,1027167236990098.2,0.0
CPV,0.0,0.0,0.0
CRI,4546700161056768.0,576617884591411.0,0.0
CUB,4899005590929408.0,204234084648624.34,0.0
CUW,2509431547887616.0,1480357726766876.5,0.0
CXR,2275761436229632.0,2181651320799232.0,2087541205368832.0
CYM,0.0,0.0,0.0
CYP,4172942980153344.0,2873768075941205.5,0.0
CZE,1.816267581292544e+16,6673904691471974.0,0.0
DEU,4.719856814181581e+16,6274108582619850.0,0.0
DJI,2861706912989184.0,1776598689351723.5,0.0
DMA,2473309530750976.0,1429652163089749.2,0.0
DNK,4.890653490151424e+16,3409720342048644.5,0.0
DOM,4605245397139456.0,1629330114590055.5,0.0
DZA,9698374383042560.0,1339675527334604.8,0.0
ECU,5256557323354112.0,455519188752422.6,0.0
EGY,6942700280479744.0,2291781292211133.0,0.0
ERI,3517724512747520.0,792612417613438.2,0.0
ESH,3514938958020608.0,1142757183645448.0,0.0
ESP,5621531833008128.0,323457524864931.75,0.0
EST,1.1554732262817792e+16,4264960769227287.5,0.0
ETH,4643246194032640.0,1204133779646179.0,0.0
FIN,1.1743284548337664e+16,2469626062390364.0,0.0
FJI,4441832360509440.0,3937343218856.5244,0.0
FLK,3717182793973760.0,621421496257665.5,0.0
FRA,2.2186312844967936e+16,2319362075168688.5,0.0
FRO,1488184961662976.0,332985040126480.5,0.0
FSM,2656951058038784.0,27898310109880.93,0.0
GAB,2789524350435328.0,1250043757870045.2,0.0
GBR,2.223641149099213e+16,1010405498017868.6,0.0
GEO,3671252413710336.0,827255881852830.5,0.0
GGY,2467954780274688.0,1292264547898709.2,0.0
GHA,6251848348467200.0,551392667320872.25,0.0
GIB,0,0,0
GIN,8437880401690624.0,1707278539944355.2,0.0
GLP,2742430034034688.0,1778813327376384.0,0.0
GMB,3310607231090688.0,1765999751241097.8,0.0
GNB,5063541493071872.0,2389178752474506.0,0.0
GNQ,2517049746128896.0,226929015338573.56,0.0
GRC,4499551620694016.0,1144173728754399.5,0.0
GRD,2573754320289792.0,1301181213179904.0,0.0
GRL,2803308779536384.0,64344814326570.64,0.0
GTM,3737374240538624.0,1577349677967507.2,0.0
GUF,3004966084018176.0,912395071280954.8,0.0
GUM,0.0,0.0,0.0
GUY,3079884272304128.0,1004983540403676.6,0.0
HKG,7684231215972352.0,5004960912987477.0,0.0
HMD,3924691186089984.0,1924033768936789.2,0.0
HND,4156026446151680.0,883119699848673.4,0.0
HRV,8707639244488704.0,1197195738427730.2,0.0
HTI,0.0,0.0,0.0
HUN,1.0364998404538368e+16,4155530626690487.0,0.0
