GID_0,Max,Mean,Min
USA,0.013582523912191391,0.013333336682990193,0.013092812150716782
USA,0.016053812578320503,0.015430490672588348,0.014376617036759853
USA,0.014004207216203213,0.013807008353372415,0.013483977876603603
USA,0.013092812150716782,0.012722866144031286,0.01235292013734579
USA,0.011534031480550766,0.011193887641032537,0.010570661164820194
USA,0.014004207216203213,0.013720727292820811,0.013461884111166
USA,0.013919647783041,0.013896282762289047,0.013872917741537094
USA,0.011458531953394413,0.011453048326075077,0.011447564698755741
USA,0.013174510560929775,0.01269910391420126,0.012223697267472744
USA,0.011458531953394413,0.010940623097121715,0.010200793854892254
USA,0.013159569352865219,0.012730177491903305,0.012315408326685429
USA,0.013926323503255844,0.013694977853447199,0.013486520387232304
USA,0.014376617036759853,0.01401077676564455,0.013729389756917953
USA,0.012246266938745975,0.012246266938745975,0.012246266938745975
USA,0.012246266938745975,0.011844015214592218,0.011447564698755741
USA,0.014572755433619022,0.014252797700464725,0.013932839967310429
USA,0.00975614320486784,0.009458808849255243,0.009248550049960613
USA,0.014544940553605556,0.014190570916980505,0.013872917741537094
USA,0.013356662355363369,0.012769476743414998,0.012246266938745975
USA,0.015505925752222538,0.014747309871017933,0.013872917741537094
USA,0.014572755433619022,0.014084379002451897,0.013498441316187382
USA,0.011534031480550766,0.011004265397787094,0.010435398668050766
USA,0.014783676713705063,0.014323369832709432,0.013932839967310429
USA,0.013582523912191391,0.013391259126365185,0.013092812150716782
USA,0.010862485505640507,0.010466412408277392,0.010068630799651146
USA,0.013498441316187382,0.013369139283895493,0.013159569352865219
USA,0.015505925752222538,0.014845824614167214,0.014376617036759853
USA,0.01147697027772665,0.011057233903557062,0.010570661164820194
USA,0.011534031480550766,0.011408384889364243,0.011282738298177719
USA,0.010291234590113163,0.009771322831511497,0.009248550049960613
USA,0.015240009874105453,0.014924224466085434,0.014572755433619022
USA,0.013057049363851547,0.012554383603855968,0.01204011496156454
USA,0.013637677766382694,0.012865869514644145,0.012188888154923916
USA,0.014783676713705063,0.014393941964954138,0.014004207216203213
USA,0.015100455842912197,0.014818962663412094,0.014572755433619022
USA,0.010733739472925663,0.010235166177153587,0.009937500581145287
USA,0.01235292013734579,0.011919832555577159,0.01147697027772665
USA,0.011282738298177719,0.010723090264946222,0.010173773393034935
USA,0.00975614320486784,0.009029867437978586,0.00823519192636013
USA,0.010435398668050766,0.009963627438992262,0.009371733292937279
USA,0.013483977876603603,0.01333838359763225,0.013174510560929775
USA,0.009937500581145287,0.009846821893006563,0.00975614320486784
USA,0.013872917741537094,0.013651294323305288,0.013498441316187382
USA,0.013483977876603603,0.013369258726015687,0.013174510560929775
USA,0.010570661164820194,0.01025408087298274,0.009937500581145287
USA,0.013926323503255844,0.01355089363642037,0.013057049363851547
USA,0.011282738298177719,0.010582582093775272,0.010173773393034935
USA,0.010733739472925663,0.010327633004635572,0.009937500581145287
USA,0.01600612886250019,0.015096270479261875,0.013957317918539047
USA,0.014424777589738369,0.014161841478198767,0.013919647783041
USA,0.013932839967310429,0.013547052474071583,0.013159569352865219
USA,0.010570661164820194,0.010174925904721022,0.00975614320486784
USA,0.013637677766382694,0.013342515798285604,0.013057049363851547
USA,0.012931481935083866,0.011917567625641824,0.011144614778459072
USA,0.013932839967310429,0.013697362039238214,0.013461884111166
USA,0.012246266938745975,0.01197616538653771,0.011458531953394413
USA,0.013628777116537094,0.013341840589419007,0.013080096803605556
USA,0.012315408326685429,0.011871552560478449,0.011447564698755741
USA,0.01235292013734579,0.01204843291391929,0.01147697027772665
USA,0.013637677766382694,0.013278182363137603,0.012931481935083866
USA,0.012315408326685429,0.011871552560478449,0.011447564698755741
USA,0.013461884111166,0.012892604246735573,0.012223697267472744
USA,0.01235292013734579,0.011839644517749548,0.011282738298177719
USA,0.011534031480550766,0.010885850759223104,0.010291234590113163
USA,0.014376617036759853,0.013997412053868175,0.013729389756917953
USA,0.013926323503255844,0.013739588670432568,0.013498441316187382
USA,0.011534031480550766,0.010753554912904898,0.010291234590113163
USA,0.005022739991545677,0.004732498579791614,0.004400308709591627
USA,0.005073841195553541,0.004799761012259682,0.004381552804261446
USA,0.0038196006789803505,0.003552196979788797,0.0033870693296194077
USA,0.004016494378447533,0.003639640659972463,0.0028596874326467514
USA,0.0038052955642342567,0.0037535984301939607,0.0037019012961536646
USA,0.003642455441877246,0.0031478816883698585,0.0025909498799592257
USA,0.004016494378447533,0.0037509569910501965,0.0035296038258820772
USA,0.00369800697080791,0.003276576859537851,0.0028275803197175264
USA,0.00305550848133862,0.002487867255695164,0.0020972450729459524
USA,0.0033221400808542967,0.002759919338859618,0.002108887769281864
USA,0.004510378465056419,0.003717238500411081,0.0028902050107717514
USA,0.004207666497677565,0.0038276431150734425,0.003315345151349902
USA,0.004934048745781183,0.004407581600493618,0.0038719733711332083
USA,0.004708186723291874,0.003991977156450351,0.002989108907058835
USA,0.0038196006789803505,0.003146536420099437,0.002504960400983691
USA,0.0036006132140755653,0.0028599499377199044,0.002160683972761035
USA,0.0018442628206685185,0.0013723191571851454,0.0008189140935428441
USA,0.00286167417652905,0.0021431628960519307,0.0014025727286934853
USA,0.004675284959375858,0.003890346918654229,0.002300417283549905
USA,0.004767394158989191,0.003925021272152662,0.0032372234854847193
USA,0.00396916875615716,0.0029422553100933633,0.002010420896112919
USA,0.003442024812102318,0.0028520255620576073,0.0018798470264300704
USA,0.004734492395073175,0.0031842690856050118,0.0016524154925718904
USA,0.0037586847320199013,0.003683061840840512,0.003460780717432499
USA,0.004716134164482355,0.003556745976675302,0.002424514153972268
USA,0.003816103795543313,0.0029115188952056233,0.0013436138397082686
USA,0.004299259278923273,0.0037702664678149365,0.003322457894682884
USA,0.004920578096061945,0.004487543470329708,0.0039555784314870834
USA,0.005107140634208918,0.00419629764344011,0.003537749871611595
USA,0.005309478845447302,0.0047191450786259435,0.004189904313534498
USA,0.00460813008248806,0.004367621568962932,0.004055515397340059
USA,0.004468218423426151,0.00418295049374657,0.00370563636533916
USA,0.005686100106686354,0.00530998595058918,0.004727697465568781
USA,0.005888437852263451,0.0054402788279249385,0.0046979342587292194
USA,0.005496398080140352,0.004602252992547371,0.003936703782528639
USA,0.0046979342587292194,0.004016304801387543,0.0037041660398244858
USA,0.007536307442933321,0.005315292332517474,0.004237150773406029
USA,0.0054799471981823444,0.004987643100321293,0.004384453874081373
USA,0.00537790497764945,0.0045435983532418804,0.0039555784314870834
USA,0.005722578149288893,0.005120020328710477,0.004332876298576593
USA,0.00616714870557189,0.005858123302459717,0.005534306634217501
USA,0.01024609338492155,0.009369428424785534,0.008478855714201927
USA,0.01125206146389246,0.011225716210901737,0.011199370957911015
USA,0.0076221381314098835,0.007465179388721784,0.007155394181609154
USA,0.009117340669035912,0.008885478600859642,0.008653616532683372
USA,0.00810549221932888,0.007863815175369382,0.0076221381314098835
USA,0.01125206146389246,0.010848736856132746,0.010445412248373032
USA,0.011390980333089828,0.010951078031212091,0.010445412248373032
USA,0.008653616532683372,0.008379554376006126,0.00810549221932888
USA,0.01136650238186121,0.01073540817014873,0.010129665955901146
USA,0.011159396730363369,0.010621881578117609,0.01011035405099392
USA,0.006797448266297579,0.006781116593629122,0.006764784920960665
USA,0.008268888108432293,0.007765805232338607,0.007233595475554466
USA,0.010445412248373032,0.01001466903835535,0.00958392582833767
USA,0.011679943650960922,0.011535461992025375,0.011390980333089828
USA,0.008693194016814232,0.008481041062623262,0.008268888108432293
USA,0.007190362084656954,0.0071735933888703585,0.007156824693083763
USA,0.010051226243376732,0.009626682149246335,0.009211516007781029
USA,0.008518989197909832,0.008152818074449897,0.007786646950989962
USA,0.007820026017725468,0.007803336484357715,0.007786646950989962
USA,0.010715858079493046,0.010213887551799417,0.00958392582833767
USA,0.01024609338492155,0.00977007090114057,0.009331758134067059
USA,0.01125206146389246,0.010756627656519413,0.010129665955901146
USA,0.009301082231104374,0.008794700726866722,0.008268888108432293
USA,0.009573514573276043,0.009105359902605414,0.008576448075473309
USA,0.007155394181609154,0.006999985082075,0.006844575982540846
USA,0.010501917451620102,0.009894843678921461,0.009301082231104374
USA,0.01011035405099392,0.009847139939665794,0.00958392582833767
USA,0.007190362084656954,0.00697735499124974,0.006764784920960665
USA,0.011803444474935532,0.01122794176141421,0.010501917451620102
USA,0.010501917451620102,0.009971117911239466,0.009301082231104374
USA,0.011496838182210922,0.011111474130302668,0.010726110078394413
USA,0.007233595475554466,0.00721197878010571,0.007190362084656954
USA,0.007618005853146315,0.007212892873212695,0.006844575982540846
USA,0.007942731492221355,0.007546678767539561,0.007190362084656954
USA,0.00958392582833767,0.009478345979005098,0.009372766129672527
USA,0.009059960953891277,0.008818204514682293,0.008576448075473309
