HASC_1,Max,Mean,Min
IT.AB,0.14006297290325165,0.0023118460386885925,0.0
IT.SD,0.0004347825888544321,1.410105693581942e-06,0.0
IT.PU,0.0,0.0,0.0
IT.LB,0.0004347825888544321,1.111975930573995e-06,0.0
IT.CM,0.0026086955331265926,2.0703932802592006e-05,0.0
IT.ER,0.1601194441318512,0.0017116501418288183,0.0
IT.FV,0.2816016376018524,0.02250677727148714,0.0
IT.LZ,0.14006297290325165,0.0009736895604714096,0.0
IT.LG,2.189138889312744,0.016630869489491756,0.0
IT.LM,1.8343653678894043,0.06949447058540575,0.0
IT.MH,0.2017807513475418,0.0023391007592256487,0.0
IT.ML,0.0,0.0,0.0
IT.PM,2.189138889312744,0.01991375593217695,0.0
IT.SC,0.023350754752755165,0.0001719839940778911,0.0
IT.TT,0.0004347825888544321,5.219478857796304e-07,0.0
IT.TC,0.08102712780237198,0.0013501812395859468,0.0
IT.BC,1.6526433229446411,0.11412672490782412,0.0
IT.UM,0.3661683201789856,0.004278931648915228,0.0
IT.VB,0.7448868751525879,0.057540755109345004,0.0
IT.VN,0.4988093674182892,0.01761431604935961,0.0
