HASC_2,Max,Mean,Min
US.AL.AU,1.2417213916778564,0.48577060699462893,0.0
US.AL.BD,0.1899999976158142,0.019940579637131167,0.0
US.AL.BR,0.6546775698661804,0.19688592407675015,0.0
US.AL.BI,3.275981903076172,1.314181250333786,0.0
US.AL.BU,6.189028263092041,1.6725397929549217,0.0
US.AL.BL,1.03311288356781,0.4845505774021149,0.0
US.AL.BT,0.18261639773845673,0.02696245986347397,0.0
US.AL.CN,10.4472074508667,4.8249155657632015,0.0
US.AL.CM,3.462092399597168,1.2349523385365804,0.0
US.AL.CH,6.767490863800049,2.0887611389160154,0.0
US.AL.CI,2.032864809036255,0.9081071794033051,0.0
US.AL.CC,0.510364830493927,0.07830651163845798,0.0
US.AL.CK,0.06248804181814194,0.013311816250077553,0.0
US.AL.CY,12.827390670776367,6.686394998005459,0.0
US.AL.CB,9.168628692626953,1.8571199455431529,0.0
US.AL.CF,0.10999999940395355,0.026120752096176147,0.0
US.AL.CL,0.38797837495803833,0.11682611209107563,0.0
US.AL.CO,0.03854489326477051,0.005576667143031955,0.0
US.AL.CS,5.689627170562744,1.651807613670826,0.6538492441177368
US.AL.CV,0.04627560079097748,0.00874380308151659,0.0
US.AL.CA,0.3100000023841858,0.0586139461491257,0.0
US.AL.CU,2.3300955295562744,0.8508440315723419,0.0
US.AL.DE,0.10999999940395355,0.027539896555244924,0.0
US.AL.DL,0.7336100935935974,0.1730410469463095,0.0
US.AL.DA,3.935941219329834,0.9328529057758195,0.0
US.AL.EL,1.2119100093841553,0.58330564002196,0.2636585235595703
US.AL.ES,0.029273156076669693,0.0019470689119771122,0.0
US.AL.ET,10.423579216003418,4.153341466188431,0.0
US.AL.FA,2.0251150131225586,0.5238723215247904,0.0
US.AL.FR,2.7408342361450195,0.7216155699970841,0.0
US.AL.GE,0.021133700385689735,0.007229850239430864,0.0
US.AL.GR,0.5847002267837524,0.12131967310172816,0.0
US.AL.HA,1.7015150785446167,0.41367096215900445,0.0
US.AL.HE,0.17999999225139618,0.048841061008473234,0.0
US.AL.HO,0.044999998062849045,0.016182652791030705,0.0
US.AL.JA,3.6274333000183105,1.110053553349442,0.0
US.AL.JE,3.357051134109497,1.16032390438375,0.0
US.AL.LM,0.2902916967868805,0.07238626267228808,0.0
US.AL.LU,0.5728681087493896,0.12838486123787748,0.0
US.AL.LW,2.817375421524048,0.9400251055757205,0.0
US.AL.LE,2.003253936767578,0.5663094483315945,0.0
