HASC_2,Max,Mean,Min
US.KY.BH,0.0,0.0,0.0
US.KY.BL,0.0,0.0,0.0
US.KY.BO,0.0,0.0,0.0
US.KY.BU,0.0,0.0,0.0
US.KY.BD,0.0,0.0,0.0
US.KY.BE,0.0,0.0,0.0
US.KY.BK,0.0,0.0,0.0
US.KY.BT,0.0,0.0,0.0
US.KY.BC,0.00032077875221148133,1.920337478319804e-05,0.0
US.KY.BI,0.0,0.0,0.0
US.KY.BR,0.0,0.0,0.0
US.KY.CD,0.0,0.0,0.0
US.KY.CW,0.0,0.0,0.0
US.KY.CM,0.0,0.0,0.0
US.KY.CE,0.012891806662082672,0.0009812897304072976,0.0
US.KY.CL,0.0,0.0,0.0
US.KY.CR,0.0,0.0,0.0
US.KY.CS,0.0,0.0,0.0
US.KY.CH,0.0,0.0,0.0
US.KY.CK,0.0,0.0,0.0
US.KY.CY,0.0,0.0,0.0
US.KY.CO,0.0,0.0,0.0
US.KY.CT,0.0,0.0,0.0
US.KY.CU,0.0,0.0,0.0
US.KY.DA,0.0,0.0,0.0
US.KY.ED,0.0,0.0,0.0
US.KY.EL,0.0,0.0,0.0
US.KY.ES,0.0,0.0,0.0
US.KY.FA,0.0,0.0,0.0
US.KY.FE,0.0,0.0,0.0
US.KY.FO,0.0,0.0,0.0
US.KY.FR,0.0,0.0,0.0
US.KY.FU,0.0005485874717123806,2.3198337186369355e-05,0.0
US.KY.GL,0.0,0.0,0.0
US.KY.GR,0.0,0.0,0.0
US.KY.GT,0.0,0.0,0.0
US.KY.GV,0.0,0.0,0.0
US.KY.GY,0.0,0.0,0.0
US.KY.GN,0.0,0.0,0.0
US.KY.GU,0.0,0.0,0.0
US.KY.HC,0.0,0.0,0.0
US.KY.HN,0.0,0.0,0.0
US.KY.HL,0.0,0.0,0.0
US.KY.HS,0.0,0.0,0.0
US.KY.HT,0.0,0.0,0.0
US.KY.HE,0.0,0.0,0.0
US.KY.HY,0.0,0.0,0.0
US.KY.HA,0.0014558987459167838,0.00010411269249743782,0.0
US.KY.HO,0.0,0.0,0.0
US.KY.JA,0.0,0.0,0.0
US.KY.JF,0.0,0.0,0.0
US.KY.JS,0.0,0.0,0.0
US.KY.JO,0.0,0.0,0.0
US.KY.KE,0.0,0.0,0.0
US.KY.KT,0.0,0.0,0.0
US.KY.KX,0.0,0.0,0.0
US.KY.LR,0.0,0.0,0.0
US.KY.LU,0.0,0.0,0.0
US.KY.LC,0.0,0.0,0.0
US.KY.LE,0.0,0.0,0.0
US.KY.LS,0.0,0.0,0.0
US.KY.LT,0.0,0.0,0.0
US.KY.LI,0.0,0.0,0.0
US.KY.LN,0.0,0.0,0.0
US.KY.LV,0.0,0.0,0.0
US.KY.LO,0.0,0.0,0.0
US.KY.LY,0.0,0.0,0.0
US.KY.MD,0.0,0.0,0.0
US.KY.MF,0.0,0.0,0.0
US.KY.MN,0.0,0.0,0.0
US.KY.MH,0.0,0.0,0.0
US.KY.MI,0.0,0.0,0.0
US.KY.MS,0.0,0.0,0.0
US.KY.MK,0.0,0.0,0.0
US.KY.MR,0.0,0.0,0.0
US.KY.ML,0.0,0.0,0.0
