HASC_1,Max,Mean,Min
HU.BK,0.48034173250198364,0.07491794412110792,0.0
HU.BA,1.4752063751220703,0.1333010267366522,0.0
HU.BE,0.707195520401001,0.13174751713681457,0.0
HU.BZ,0.6492968797683716,0.06143156321428502,0.0
HU.BU,0.5235601663589478,0.20038432590663433,0.0
HU.CS,1.0552688837051392,0.16797238549207366,0.0
HU.FE,0.8150725364685059,0.1726883604967787,0.0
HU.GS,0.2987011969089508,0.045214482521259924,0.0
HU.HB,0.45123305916786194,0.07527279242397829,0.0
HU.HE,0.3618198037147522,0.04156328142758307,0.0
HU.JN,0.3331250548362732,0.031708556601418726,0.0
HU.KE,0.8150725364685059,0.2525707052061052,0.0
HU.NO,0.44951337575912476,0.10032657591196206,0.0
HU.PE,0.6278387904167175,0.08785535181038237,0.0
HU.SO,2.696741819381714,0.43027994857679697,0.0
HU.SZ,0.46056318283081055,0.1120953073899387,0.0
HU.TO,0.6287760734558105,0.0687242546305472,0.0
HU.VA,2.553133010864258,0.35080595389326924,0.0
HU.VE,0.9703914523124695,0.07079235145526279,0.0
HU.ZA,3.603870153427124,1.0400260866553797,0.0
