HASC_1,Max,Mean,Min
RU.AD,0.15264615416526794,0.002245028201682346,0.0
RU.AL,0.08127880096435547,0.0006282183410573862,0.0
RU.AM,0.40518972277641296,0.005940264414461449,0.0
RU.AR,0.16508379578590393,-1396.3171061711453,-9999.904296875
RU.AS,0.0,0.0,0.0
RU.BK,0.6512609124183655,0.014659132710656069,0.0
RU.BL,0.001992813777178526,1.0352168416119172e-05,0.0
RU.BR,0.0,0.0,0.0
RU.BU,0.6041948795318604,0.0029149117152132463,0.0
RU.CN,0.16188716888427734,0.013352562428754785,0.0
RU.CL,1.2705795764923096,0.048423581636517984,0.0
RU.CK,0.0038461536169052124,-293.27305530705456,-9999.904296875
RU.CV,0.00025641024694778025,2.7122260091237276e-06,0.0
RU.SP,0.0035897435154765844,6.642014389702429e-05,0.0
RU.DA,0.4309127926826477,0.006479962911967726,0.0
RU.GA,0.009655805304646492,5.83808655291149e-05,0.0
RU.IN,0.164000004529953,0.022103408131029442,0.0
RU.IK,0.34471917152404785,-532.6796182391713,-9999.904296875
RU.IV,0.0004923076485283673,1.6945372171112862e-06,0.0
RU.KB,0.16465641558170319,0.01005958424274885,0.0
RU.KN,0.013076922856271267,0.00021941442883643197,0.0
RU.KL,0.0,0.0,0.0
RU.KG,0.1351282000541687,0.0019928246927743763,0.0
RU.KQ,0.6209333539009094,-1341.158448897523,-9999.904296875
RU.KC,0.1258256435394287,0.007978634252522552,0.0
RU.KI,0.5520512461662292,-5225.385347810187,-9999.904296875
RU.KE,0.03315231576561928,2.2684286401878733e-05,0.0
RU.KH,1.0948513746261597,-530.4031853624405,-9999.904296875
RU.KK,0.06797908246517181,0.0001890269031892309,0.0
RU.KM,0.2835135757923126,-4323.584055041008,-9999.904296875
RU.KV,0.12223181128501892,-425.25654028623666,-9999.904296875
RU.KO,0.12230769544839859,-4069.0854436584873,-9999.904296875
RU.KT,0.1794871836900711,0.0007673308461508567,0.0
RU.KD,0.18113835155963898,0.0018750599068108717,0.0
RU.KX,2.314896821975708,-3925.833968313068,-9999.904296875
RU.KU,1.546385407447815,0.19779640746896548,0.0
RU.KS,0.001025640987791121,1.2854967490219704e-05,0.0
RU.LN,0.5231553912162781,-586.0685857515101,-9999.904296875
RU.LP,0.0,0.0,0.0
RU.MG,0.06064102053642273,-5504.56656157032,-9999.904296875
RU.ME,0.00024910172214731574,3.312522900895156e-07,0.0
RU.MR,0.0,0.0,0.0
None,0.0,0.0,0.0
RU.MS,0.06205127760767937,0.0004184474235709164,0.0
RU.MM,0.1612820327281952,-6160.2461516965805,-9999.904296875
RU.NN,0.036153845489025116,-3673.028448064607,-9999.904296875
RU.NZ,0.051809217780828476,0.0003534559959620625,0.0
RU.NO,0.2358153909444809,0.027468689925818555,0.0
RU.NG,0.016153845936059952,0.00016289212285549304,0.0
RU.NS,0.036574363708496094,0.00013031824898399185,0.0
RU.OM,0.36232462525367737,0.014454698590020168,0.0
RU.OL,0.015812329947948456,0.00024984764405703463,0.0
RU.OB,0.5051384568214417,0.005876955933732708,0.0
RU.PZ,0.0008178318967111409,8.011910717363612e-06,0.0
RU.PE,0.04564102366566658,-1983.7866067496525,-9999.904296875
RU.PR,2.053255796432495,0.06760648775073702,0.0
RU.PS,0.06466279923915863,6.246201332292653e-05,0.0
RU.RO,0.01580660417675972,5.5485140540579284e-05,0.0
RU.RZ,0.4354230463504791,0.0008950671346070427,0.0
RU.SK,1.5951999425888062,-4634.500997226607,-9999.904296875
RU.SL,2.7607853412628174,0.0066142085195448,0.0
RU.SA,0.004358974285423756,2.15076090421704e-05,0.0
RU.SR,0.003102834103628993,4.6959787100026305e-05,0.0
RU.SM,0.1141025573015213,0.00047882208705221435,0.0
RU.ST,0.38179144263267517,0.0026551483247138734,0.0
RU.SV,0.6401845812797546,-1149.9844796471853,-9999.904296875
RU.TB,0.0,0.0,0.0
RU.TT,0.2116512656211853,0.00036952074798953,0.0
RU.TO,0.06181538477540016,-777.7702112921303,-9999.904296875
RU.TL,0.1471794843673706,0.005011961382048244,0.0
RU.TU,2.314896821975708,0.012784755087213995,0.0
RU.TV,0.025128204375505447,4.908357825837971e-05,0.0
RU.TY,0.6931605339050293,0.03637029589256529,0.0
RU.UD,0.01441525761038065,0.00015969286025511932,0.0
RU.UL,0.0004717948322650045,3.089151715337958e-06,0.0
RU.VL,0.4646376669406891,0.0025552685440738947,0.0
RU.VG,0.0003292736364528537,6.105179827206866e-07,0.0
RU.VO,0.1794871836900711,-2754.509347112706,-9999.904296875
RU.VR,5.3957290219841525e-05,9.035234228751072e-08,0.0
RU.YN,0.0,-5551.481957793654,-9999.904296875
RU.YS,0.016153845936059952,0.00017257229217440185,0.0
RU.YV,0.05979486554861069,0.0021444000225248165,0.0
RU.ZB,0.6041948795318604,0.008808979032288456,0.0
