HASC_1,Max,Mean,Min
CA.AB,0.5760737061500549,0.01419384959644851,0.0
CA.BC,6.451959609985352,0.0789866442235069,0.0
CA.MB,0.2903090715408325,0.004761021830817566,0.0
CA.NB,0.4397635757923126,0.02412087193543116,0.0
CA.NF,2.1787359714508057,-10.54799870823491,-9999.904296875
CA.NT,0.16272731125354767,-4352.498267795239,-9999.904296875
CA.NS,1.4250502586364746,0.018544975862629102,0.0
CA.NU,0.8087999820709229,-3710.014401459781,-9999.904296875
CA.ON,1.0186636447906494,0.0065019791993859155,0.0
CA.PE,0.20213636755943298,0.0015545572013630031,0.0
CA.QC,1.5814273357391357,-427.9474815115726,-9999.904296875
CA.SK,0.43614548444747925,0.010175158296200991,0.0
CA.YT,0.2708545923233032,-4590.170175237442,-9999.904296875
