HASC_1,Max,Mean,Min
UA.CK,0.19189438223838806,0.00673812114269061,0.0
UA.CH,0.9885777235031128,0.021084890185686638,0.0
UA.CV,0.0,0.0,0.0
UA.KR,0.2915091812610626,0.01052794124242858,0.0
UA.DP,0.4142666459083557,0.022128402869891848,0.0
UA.DT,0.7197777628898621,0.0380262421013699,0.0
UA.IF,0.0,0.0,0.0
UA.KK,0.17471109330654144,0.008501202176503258,0.0
UA.KS,0.34191110730171204,0.0109564468378819,0.0
UA.KM,0.0,0.0,0.0
UA.KV,0.19189438223838806,0.0038082476679379496,0.0
UA.KC,0.0018954492406919599,8.521180379830184e-05,0.0
UA.KH,0.11651112139225006,0.0024047748748912347,0.0
UA.LV,0.007108011282980442,1.714506480163835e-05,0.0
UA.LH,0.4007999897003174,0.028009914356314565,0.0
UA.MY,0.09291817247867584,0.0036501115811857273,0.0
UA.OD,0.10614650696516037,0.003794452354632938,0.0
UA.PL,0.6630443930625916,0.03207687465269681,0.0
UA.RV,0.0,0.0,0.0
UA.SC,0.0341850183904171,0.007356488953034083,0.0
UA.SM,0.6630443930625916,0.0170699212647681,0.0
UA.TP,0.0,0.0,0.0
UA.ZK,0.00753271346911788,3.306668102961673e-05,0.0
UA.VI,0.0,0.0,0.0
UA.VO,0.0,0.0,0.0
UA.ZP,0.45671114325523376,0.015413825466806946,0.0
UA.ZT,0.0007530892034992576,6.366636179896327e-06,0.0
