HASC_1,Max,Mean,Min
CN.AH,0.31326398253440857,-4.62283978075456,-499.9950256347656
CN.BJ,0.007999999448657036,-137.6248639674613,-499.9950256347656
CN.CQ,0.2901621460914612,0.002468165633064218,0.0
CN.FJ,0.15541234612464905,0.00043748989773943287,0.0
CN.GS,0.2897200286388397,0.0003526452538835932,0.0
CN.GD,0.5717536211013794,0.0013284688929034044,0.0
CN.GX,0.22699999809265137,0.00031930634887769805,0.0
CN.GZ,0.006000000052154064,2.0927799275040335e-06,0.0
CN.HA,0.7434999942779541,0.00248044208769186,0.0
CN.HB,0.08985836803913116,-160.44586772504007,-499.9950256347656
CN.HL,0.0,-207.49329526797302,-499.9950256347656
CN.HE,0.0357610359787941,-37.03579939908497,-499.9950256347656
CN.HU,0.7315000295639038,-0.7254559874278057,-499.9950256347656
CN.HN,0.1339999884366989,0.0012352609423988744,0.0
CN.JS,0.13290362060070038,-0.3995925864674322,-499.9950256347656
CN.JX,0.4891144335269928,0.006861661252537088,0.0
CN.JL,0.0,-218.3636634784196,-499.9950256347656
CN.LN,0.020883595570921898,-151.78409079089926,-499.9950256347656
CN.NM,0.026923198252916336,-91.17354691098106,-499.9950256347656
CN.NX,0.012599999085068703,0.00012771428154280216,0.0
CN.QH,0.19550000131130219,0.0002113366831597812,0.0
CN.SA,0.11865395307540894,0.00136276029810529,0.0
CN.SD,0.16850124299526215,-58.68759650264257,-499.9950256347656
CN.SH,0.2054540365934372,0.004241457479448789,0.0
CN.SX,0.02848999761044979,-125.54830684316097,-499.9950256347656
CN.SC,0.2679191827774048,0.0008019987436003637,0.0
CN.TJ,0.05797675997018814,-62.744246445304036,-499.9950256347656
CN.XJ,0.2694999873638153,0.0006329310558377383,0.0
CN.XZ,2.4970500469207764,0.005590503432078376,0.0
CN.YN,0.057632435113191605,2.419090840500358e-05,0.0
CN.ZJ,1.471846342086792,-1.9005078048798272,-499.9950256347656
