iso3,Max,Mean,Min
SHN,684452967612416.0,257029323724.89786,0.0
SJM,633946769457152.0,8362649325981.357,0.0
SLB,950777782730752.0,11038787913863.963,0.0
SLE,909367520002048.0,222133004318367.78,0.0
SLV,836953968738304.0,300776081195008.0,0.0
SMR,0,0,0
SOM,2299387782889472.0,139957968093140.4,0.0
SPM,420815526952960.0,232611549020160.0,0.0
SRB,3357421569310720.0,1089016870626918.4,0.0
SSD,1786836720549888.0,260250290201739.7,0.0
STP,1064111634907136.0,72676323477276.44,0.0
SUR,1360034948710400.0,203837856267268.25,0.0
SVK,1298156146917376.0,219482324641650.3,0.0
SVN,0.0,0.0,0.0
SWE,3831964721217536.0,395803554590070.4,0.0
SWZ,0.0,0.0,0.0
SXM,453176964677632.0,280300491898880.0,0.0
SYC,1363599503130624.0,4694754524179.391,0.0
SYR,3012330342318080.0,600818174763146.9,0.0
TCA,823692317687808.0,214375220148344.47,0.0
TCD,3949816744771584.0,321066218792285.8,0.0
TGO,462284946145280.0,5569698146328.675,0.0
THA,7580520640675840.0,485450060584090.25,0.0
TJK,3383971446521856.0,430885384794892.56,0.0
TKL,195736272633856.0,24427036297508.57,0.0
TKM,2782161434312704.0,384151381175843.75,0.0
TLS,0.0,0.0,0.0
TON,750321592696832.0,10570675741995.107,0.0
TTO,1362463886934016.0,321107559772400.94,0.0
TUN,2444649482420224.0,691641721999437.9,0.0
TUR,3834208841629696.0,661407011342472.5,0.0
TUV,680459319115776.0,4657053824812.138,0.0
TWN,2809388842614784.0,11999567829322.031,0.0
TZA,5587106059517952.0,486495032904409.25,0.0
UGA,3495832796004352.0,462760516198795.5,0.0
UKR,3309233915297792.0,311954743956955.94,0.0
UMI,787946311516160.0,24026248902.403156,0.0
URY,6307816604172288.0,723589984859687.4,0.0
USA,8873058299281408.0,50433939341913.53,0.0
UZB,5686636021022720.0,267476310709824.97,0.0
VAT,1000817842716672.0,1000817842716672.0,1000817842716672.0
VCT,1137492963098624.0,877785509789696.0,0.0
VEN,3539200154533888.0,156736089867773.25,0.0
VGB,437480268496896.0,127426565417642.67,0.0
VIR,837328905961472.0,152455925751063.28,0.0
VNM,2711742224269312.0,151428292834175.94,0.0
