iso3,Max,Mean,Min
ABW,0.0002894075005315244,3.2156388947947155e-05,0.0
AFG,2.799466609954834,0.08159535425419354,0.0
AGO,5.902356147766113,0.13896906766836742,0.0
AIA,0.019825682044029236,0.0007930272724479437,0.0
ALA,0.21888889372348785,0.022445698039471655,0.0
ALB,0.014444444328546524,4.480286638209042e-05,0.0
AND,0.06473333388566971,0.011063219074640075,0.0
ARE,1.0995452404022217,0.10173115049830812,0.0
ARG,2.2682442665100098,0.012677007735471752,0.0
ARM,0.38511109352111816,0.027100119477398626,0.0
ASM,0.12508797645568848,0.0005529929857073506,0.0
ATA,3.091111183166504,-5585.78182890407,-9999.9013671875
ATF,1.0853813886642456,0.00017043096775803506,0.0
ATG,0.024461358785629272,0.0012667473767780596,0.0
AUS,2.4673869609832764,0.008587239019558615,0.0
AUT,0.6715333461761475,0.010161057655423134,0.0
AZE,0.2789269685745239,0.008194745728273613,0.0
BDI,3.7833311557769775,0.11724997192898583,0.0
BEL,0.24948379397392273,0.0029020519830135726,0.0
BEN,2.1017391681671143,0.06748579446778762,0.0
BES,0.005727419164031744,4.823055914233283e-06,0.0
BFA,0.0680786669254303,0.00026239339232265123,0.0
BGD,17.83338737487793,0.15223273884728314,0.0
BGR,0.0539528988301754,9.0320517624458e-05,0.0
BHR,0.0072265309281647205,0.00015055272767009834,0.0
BHS,1.62180757522583,0.010884262113088896,0.0
BIH,0.052844446152448654,0.0006058489630277108,0.0
BLM,0.026032408699393272,0.008050099713727832,0.0
BLR,1.4215335845947266,0.008971116683477675,0.0
BLZ,0.09333333373069763,0.00019204389656522146,0.0
BMU,0.2756868302822113,0.0682041181717068,0.0
BOL,0.8293002247810364,0.0026857432808390703,0.0
BRA,9.549391746520996,0.07162708524977707,0.0
BRB,0.010311598889529705,0.001068419063813053,0.0
BRN,1.6449097394943237,0.29992114350973786,0.0
BTN,9.511190414428711,0.16918195475054668,0.0
BVT,0.014820454642176628,0.011271128702598313,0.0019854342099279165
BWA,0.18638461828231812,0.0007013968167266035,0.0
CAF,1.223572015762329,0.009087399795506313,0.0
CAN,2.6200520992279053,-2663.8824162778183,-9999.9013671875
CCK,0.00537252239882946,0.0013249827141407877,0.0
CHE,0.8472000360488892,0.012115334717286591,0.0
CHL,4.499812126159668,0.013727168585548963,0.0
CHN,5.1316914558410645,0.01794328823010988,0.0
CIV,2.4404115676879883,0.11383327753873645,0.0
CMR,4.095025539398193,0.23062093439864134,0.0
COD,6.47957181930542,0.2536601862261932,0.0
COG,7.0534257888793945,0.48464293291353455,0.0
COK,0.04838798940181732,2.1147657944783517e-05,0.0
COL,4.79188346862793,0.02039421136756369,0.0
COM,0.3518911600112915,0.009547300069054661,0.0
CPV,0.053675390779972076,0.0006078866191507716,0.0
CRI,2.524205207824707,0.04724584980619962,0.0
CUB,1.7055996656417847,0.018436081845230188,0.0
CUW,0.001671808073297143,0.0001691350364126265,0.0
CXR,0.025911998003721237,0.0061029647865022225,0.0
CYM,0.003888888983055949,0.00012384535404163653,0.0
CYP,0.06330005079507828,0.0024827675321892157,0.0
CZE,0.003536009229719639,1.5708906316702046e-05,0.0
DEU,0.20471109449863434,0.0005926198474231097,0.0
DJI,1.1154643297195435,0.1082916177672315,0.0
DMA,0.061177268624305725,0.013040297315274074,0.0
DNK,0.10532614588737488,0.0017142307199042891,0.0
DOM,0.019735785201191902,5.979144959358643e-05,0.0
DZA,1.5344575643539429,0.015150482431329102,0.0
ECU,3.3326361179351807,0.08442826024239147,0.0
EGY,0.4955110549926758,0.006676176404816758,0.0
ERI,0.028220292180776596,1.0342055960607222e-05,0.0
ESH,0.01884603500366211,1.2927928976391779e-05,0.0
ESP,1.7683740854263306,0.03208100791697459,0.0
EST,1.7385002374649048,0.15538862966887582,0.0
ETH,2.9061172008514404,0.08658233226593388,0.0
FIN,1.9566664695739746,-3933.867339181784,-9999.9013671875
FJI,2.0526158809661865,0.0002112436432781938,0.0
FLK,0.03342510387301445,0.0007306620285470242,0.0
FRA,1.5383334159851074,0.022851622905453374,0.0
FRO,0.031111108139157295,-113.63387601608635,-9999.9013671875
FSM,2.3415002822875977,0.0011390340882131722,0.0
GAB,8.64536190032959,0.6275121740635753,0.0
GBR,0.1202472597360611,0.00025079356100985453,0.0
GEO,0.6906655430793762,0.02314597751845803,0.0
GGY,0.009911765344440937,0.0010727054117675532,0.0
GHA,2.0647003650665283,0.09254297619963237,0.0
GIB,0.0,0.0,0.0
GIN,1.3117825984954834,0.031528503932441686,0.0
GLP,0.05593850836157799,0.008225256657169666,0.0
GMB,0.08720998466014862,0.004970163862679094,0.0
GNB,1.57707679271698,0.05840989368071429,0.0
GNQ,5.345942974090576,0.08443786984602153,0.0
GRC,0.32499203085899353,0.0006939802849678806,0.0
GRD,0.00958125852048397,0.0004963558353362411,0.0
GRL,0.6372222304344177,-2353.255972025714,-9999.9013671875
GTM,1.7495968341827393,0.03047318792262122,0.0
GUF,0.8132859468460083,0.08316066553502822,0.0
GUM,0.07462199032306671,0.023953666786352794,0.0
GUY,0.23067641258239746,0.0025999947126193377,0.0
HKG,0.0,0.0,0.0
HMD,0.004999999888241291,0.0005357142778978284,0.0
HND,0.5809513926506042,0.0019476905771004987,0.0
HRV,0.07388510555028915,0.0008224773832804757,0.0
HTI,0.03852154314517975,0.0005658242311751978,0.0
HUN,0.26274266839027405,0.0013681804104321226,0.0
IDN,6.420046806335449,0.08859605147082314,0.0
IMN,0.003333333181217313,0.00033333331812173127,0.0
IND,17.85517692565918,0.029213723147131106,0.0
